,motif_address,motif_id,motif_n,total_gap,kink_factor,kink_std,intensity_kink,intensity_kink_std,white_noise,stimuli_path,id,SDoTMF,mean_SDoTMF
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif56.wav,motif56,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif56_kink1.0_intensitykink1.0whiteNoiseFalse.wav,4,[29.81665994539536],29.81665994539536
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink0.0_intensitykink0.0whiteNoiseTrue.wav,5,[81.66599610863071],81.66599610863071
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink0.0_intensitykink0.0whiteNoiseFalse.wav,5,[13.121492179799324],13.121492179799324
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink0.0_intensitykink1.0whiteNoiseTrue.wav,5,[58.061288190885826],58.061288190885826
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink0.0_intensitykink1.0whiteNoiseFalse.wav,5,[18.082860770804746],18.082860770804746
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink1.0_intensitykink0.0whiteNoiseTrue.wav,5,[85.03606673223707],85.03606673223707
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink1.0_intensitykink0.0whiteNoiseFalse.wav,5,[31.839231813856713],31.839231813856713
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink1.0_intensitykink1.0whiteNoiseTrue.wav,5,[103.7376008111434],103.7376008111434
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif63.wav,motif63,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif63_kink1.0_intensitykink1.0whiteNoiseFalse.wav,5,[43.43475368696162],43.43475368696162
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink0.0_intensitykink0.0whiteNoiseTrue.wav,6,[82.94776380409614],82.94776380409614
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink0.0_intensitykink0.0whiteNoiseFalse.wav,6,[42.80275354246756],42.80275354246756
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink0.0_intensitykink1.0whiteNoiseTrue.wav,6,[32.777290636473786],32.777290636473786
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink0.0_intensitykink1.0whiteNoiseFalse.wav,6,[59.12657260702823],59.12657260702823
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink1.0_intensitykink0.0whiteNoiseTrue.wav,6,[58.94823702257628],58.94823702257628
